ts_start,ts_end,price
2023-02-27 19:00:00,2023-02-27 20:00:00,193.39
2023-02-27 20:00:00,2023-02-27 21:00:00,134.11
2023-02-27 21:00:00,2023-02-27 22:00:00,156.45
2023-02-27 22:00:00,2023-02-27 23:00:00,149.78
2023-02-27 23:00:00,2023-02-28 00:00:00,117.07
2023-02-27 07:00:00,2023-02-27 08:00:00,186.66
2023-02-27 08:00:00,2023-02-27 09:00:00,182.38
2023-02-27 09:00:00,2023-02-27 10:00:00,160.09
2023-02-27 10:00:00,2023-02-27 11:00:00,148.27
2023-02-27 11:00:00,2023-02-27 12:00:00,132.61
2023-02-27 12:00:00,2023-02-27 13:00:00,138.83
2023-02-27 13:00:00,2023-02-27 14:00:00,135.48
2023-02-27 14:00:00,2023-02-27 15:00:00,131.47
2023-02-27 15:00:00,2023-02-27 16:00:00,132.17
2023-02-27 16:00:00,2023-02-27 17:00:00,153.45
2023-02-27 17:00:00,2023-02-27 18:00:00,170.69
2023-02-27 18:00:00,2023-02-27 19:00:00,185.45
2023-02-27 00:00:00,2023-02-27 01:00:00,65.93
2023-02-27 01:00:00,2023-02-27 02:00:00,74.76
2023-02-27 02:00:00,2023-02-27 03:00:00,108.84
2023-02-27 03:00:00,2023-02-27 04:00:00,114.36
2023-02-27 04:00:00,2023-02-27 05:00:00,117.19
2023-02-27 05:00:00,2023-02-27 06:00:00,139.83
2023-02-27 06:00:00,2023-02-27 07:00:00,164.23
2023-02-26 18:00:00,2023-02-26 19:00:00,153.7
2023-02-26 19:00:00,2023-02-26 20:00:00,153.14
2023-02-26 20:00:00,2023-02-26 21:00:00,114.36
2023-02-26 21:00:00,2023-02-26 22:00:00,110.02
2023-02-26 22:00:00,2023-02-26 23:00:00,96.27
2023-02-26 23:00:00,2023-02-27 00:00:00,63.96
2023-02-26 09:00:00,2023-02-26 10:00:00,92.87
2023-02-26 10:00:00,2023-02-26 11:00:00,97.41
2023-02-26 11:00:00,2023-02-26 12:00:00,93.16
2023-02-26 12:00:00,2023-02-26 13:00:00,84.44
2023-02-26 13:00:00,2023-02-26 14:00:00,55.31
2023-02-26 14:00:00,2023-02-26 15:00:00,54.59
2023-02-26 15:00:00,2023-02-26 16:00:00,86.4
2023-02-26 16:00:00,2023-02-26 17:00:00,98.92
2023-02-26 17:00:00,2023-02-26 18:00:00,129.9
2023-02-26 01:00:00,2023-02-26 02:00:00,61.52
2023-02-26 02:00:00,2023-02-26 03:00:00,50.64
2023-02-26 03:00:00,2023-02-26 04:00:00,51.28
2023-02-26 04:00:00,2023-02-26 05:00:00,74.4
2023-02-26 05:00:00,2023-02-26 06:00:00,48.85
2023-02-26 06:00:00,2023-02-26 07:00:00,55.41
2023-02-26 07:00:00,2023-02-26 08:00:00,61.43
2023-02-26 08:00:00,2023-02-26 09:00:00,99.94
2023-02-26 00:00:00,2023-02-26 01:00:00,83.26
2023-02-25 20:00:00,2023-02-25 21:00:00,54.64
2023-02-25 21:00:00,2023-02-25 22:00:00,64.4
2023-02-25 22:00:00,2023-02-25 23:00:00,70.11
2023-02-25 23:00:00,2023-02-26 00:00:00,50.03
2023-02-25 10:00:00,2023-02-25 11:00:00,63.08
2023-02-25 11:00:00,2023-02-25 12:00:00,101.81
2023-02-25 12:00:00,2023-02-25 13:00:00,49.97
2023-02-25 13:00:00,2023-02-25 14:00:00,44.99
2023-02-25 14:00:00,2023-02-25 15:00:00,49.99
2023-02-25 15:00:00,2023-02-25 16:00:00,63.05
2023-02-25 16:00:00,2023-02-25 17:00:00,91.53
2023-02-25 17:00:00,2023-02-25 18:00:00,115.42
2023-02-25 18:00:00,2023-02-25 19:00:00,109.72
2023-02-25 19:00:00,2023-02-25 20:00:00,74.92
2023-02-25 01:00:00,2023-02-25 02:00:00,64.91
2023-02-25 02:00:00,2023-02-25 03:00:00,57.62
2023-02-25 03:00:00,2023-02-25 04:00:00,56.06
2023-02-25 04:00:00,2023-02-25 05:00:00,71.24
2023-02-25 05:00:00,2023-02-25 06:00:00,80.01
2023-02-25 06:00:00,2023-02-25 07:00:00,66.1
2023-02-25 07:00:00,2023-02-25 08:00:00,72
2023-02-25 08:00:00,2023-02-25 09:00:00,78.77
2023-02-25 09:00:00,2023-02-25 10:00:00,75.75
2023-02-25 00:00:00,2023-02-25 01:00:00,71.73
2023-02-24 15:00:00,2023-02-24 16:00:00,116.35
2023-02-24 16:00:00,2023-02-24 17:00:00,149.99
2023-02-24 17:00:00,2023-02-24 18:00:00,150
2023-02-24 18:00:00,2023-02-24 19:00:00,135.93
2023-02-24 19:00:00,2023-02-24 20:00:00,149.55
2023-02-24 20:00:00,2023-02-24 21:00:00,113.82
2023-02-24 21:00:00,2023-02-24 22:00:00,111.93
2023-02-24 22:00:00,2023-02-24 23:00:00,92.17
2023-02-24 23:00:00,2023-02-25 00:00:00,31.58
2023-02-24 05:00:00,2023-02-24 06:00:00,111.94
2023-02-24 06:00:00,2023-02-24 07:00:00,149.32
2023-02-24 07:00:00,2023-02-24 08:00:00,150
2023-02-24 08:00:00,2023-02-24 09:00:00,129.85
2023-02-24 09:00:00,2023-02-24 10:00:00,136.18
2023-02-24 10:00:00,2023-02-24 11:00:00,134.96
2023-02-24 11:00:00,2023-02-24 12:00:00,149.99
2023-02-24 12:00:00,2023-02-24 13:00:00,150
2023-02-24 13:00:00,2023-02-24 14:00:00,150
2023-02-24 14:00:00,2023-02-24 15:00:00,144.05
2023-02-24 00:00:00,2023-02-24 01:00:00,59.94
2023-02-24 01:00:00,2023-02-24 02:00:00,48.07
2023-02-24 02:00:00,2023-02-24 03:00:00,72.07
2023-02-24 03:00:00,2023-02-24 04:00:00,105.57
2023-02-24 04:00:00,2023-02-24 05:00:00,111.93
2023-02-23 18:00:00,2023-02-23 19:00:00,123.34
2023-02-23 19:00:00,2023-02-23 20:00:00,111.79
2023-02-23 20:00:00,2023-02-23 21:00:00,104.2
2023-02-23 21:00:00,2023-02-23 22:00:00,103.62
2023-02-23 22:00:00,2023-02-23 23:00:00,90
2023-02-23 23:00:00,2023-02-24 00:00:00,73.31
2023-02-23 09:00:00,2023-02-23 10:00:00,163.96
2023-02-23 10:00:00,2023-02-23 11:00:00,139.9
2023-02-23 11:00:00,2023-02-23 12:00:00,119.74
2023-02-23 12:00:00,2023-02-23 13:00:00,115.21
2023-02-23 13:00:00,2023-02-23 14:00:00,127.23
2023-02-23 14:00:00,2023-02-23 15:00:00,135.6
2023-02-23 15:00:00,2023-02-23 16:00:00,115.24
2023-02-23 16:00:00,2023-02-23 17:00:00,115.21
2023-02-23 17:00:00,2023-02-23 18:00:00,120.61
2023-02-23 02:00:00,2023-02-23 03:00:00,60
2023-02-23 03:00:00,2023-02-23 04:00:00,60.05
2023-02-23 04:00:00,2023-02-23 05:00:00,106.86
2023-02-23 05:00:00,2023-02-23 06:00:00,115.22
2023-02-23 06:00:00,2023-02-23 07:00:00,135.63
2023-02-23 07:00:00,2023-02-23 08:00:00,157.73
2023-02-23 08:00:00,2023-02-23 09:00:00,173.81
2023-02-23 00:00:00,2023-02-23 01:00:00,128.12
2023-02-23 01:00:00,2023-02-23 02:00:00,106.8
2023-02-22 23:00:00,2023-02-23 00:00:00,40.04
2023-02-22 15:00:00,2023-02-22 16:00:00,163.11
2023-02-22 16:00:00,2023-02-22 17:00:00,164.45
2023-02-22 17:00:00,2023-02-22 18:00:00,165.01
2023-02-22 18:00:00,2023-02-22 19:00:00,174.41
2023-02-22 19:00:00,2023-02-22 20:00:00,131.93
2023-02-22 20:00:00,2023-02-22 21:00:00,105.12
2023-02-22 21:00:00,2023-02-22 22:00:00,154.02
2023-02-22 22:00:00,2023-02-22 23:00:00,105.14
2023-02-22 05:00:00,2023-02-22 06:00:00,152.73
2023-02-22 06:00:00,2023-02-22 07:00:00,166.42
2023-02-22 07:00:00,2023-02-22 08:00:00,173.13
2023-02-22 08:00:00,2023-02-22 09:00:00,176.34
2023-02-22 09:00:00,2023-02-22 10:00:00,164.55
2023-02-22 10:00:00,2023-02-22 11:00:00,152.75
2023-02-22 11:00:00,2023-02-22 12:00:00,138.34
2023-02-22 12:00:00,2023-02-22 13:00:00,142.38
2023-02-22 13:00:00,2023-02-22 14:00:00,147.44
2023-02-22 14:00:00,2023-02-22 15:00:00,149.99
2023-02-22 00:00:00,2023-02-22 01:00:00,136.54
2023-02-22 01:00:00,2023-02-22 02:00:00,113.16
2023-02-22 02:00:00,2023-02-22 03:00:00,112.53
2023-02-22 03:00:00,2023-02-22 04:00:00,124.98
2023-02-22 04:00:00,2023-02-22 05:00:00,131.17
2023-02-21 19:00:00,2023-02-21 20:00:00,176.25
2023-02-21 20:00:00,2023-02-21 21:00:00,165.92
2023-02-21 21:00:00,2023-02-21 22:00:00,154.99
2023-02-21 22:00:00,2023-02-21 23:00:00,120.03
2023-02-21 23:00:00,2023-02-22 00:00:00,110.99
2023-02-21 11:00:00,2023-02-21 12:00:00,130.95
2023-02-21 12:00:00,2023-02-21 13:00:00,129.72
2023-02-21 13:00:00,2023-02-21 14:00:00,108.18
2023-02-21 14:00:00,2023-02-21 15:00:00,113.8
2023-02-21 15:00:00,2023-02-21 16:00:00,114.91
2023-02-21 16:00:00,2023-02-21 17:00:00,142.78
2023-02-21 17:00:00,2023-02-21 18:00:00,164.85
2023-02-21 18:00:00,2023-02-21 19:00:00,178.13
2023-02-21 04:00:00,2023-02-21 05:00:00,61.03
2023-02-21 05:00:00,2023-02-21 06:00:00,99.11
2023-02-21 06:00:00,2023-02-21 07:00:00,145.2
2023-02-21 07:00:00,2023-02-21 08:00:00,114.68
2023-02-21 08:00:00,2023-02-21 09:00:00,117.43
2023-02-21 09:00:00,2023-02-21 10:00:00,119.76
2023-02-21 10:00:00,2023-02-21 11:00:00,114.68
2023-02-21 00:00:00,2023-02-21 01:00:00,45.01
2023-02-21 01:00:00,2023-02-21 02:00:00,42.84
2023-02-21 02:00:00,2023-02-21 03:00:00,42.84
2023-02-21 03:00:00,2023-02-21 04:00:00,44.66
2023-02-20 17:00:00,2023-02-20 18:00:00,105.56
2023-02-20 18:00:00,2023-02-20 19:00:00,105.56
2023-02-20 19:00:00,2023-02-20 20:00:00,105.21
2023-02-20 20:00:00,2023-02-20 21:00:00,85.47
2023-02-20 21:00:00,2023-02-20 22:00:00,61.21
2023-02-20 22:00:00,2023-02-20 23:00:00,50.61
2023-02-20 23:00:00,2023-02-21 00:00:00,43
2023-02-20 07:00:00,2023-02-20 08:00:00,113.77
2023-02-20 08:00:00,2023-02-20 09:00:00,115.18
2023-02-20 09:00:00,2023-02-20 10:00:00,109.86
2023-02-20 10:00:00,2023-02-20 11:00:00,107.09
2023-02-20 11:00:00,2023-02-20 12:00:00,106.66
2023-02-20 12:00:00,2023-02-20 13:00:00,105.56
2023-02-20 13:00:00,2023-02-20 14:00:00,104.72
2023-02-20 14:00:00,2023-02-20 15:00:00,100.06
2023-02-20 15:00:00,2023-02-20 16:00:00,94.89
2023-02-20 16:00:00,2023-02-20 17:00:00,104.71
2023-02-20 02:00:00,2023-02-20 03:00:00,42.75
2023-02-20 03:00:00,2023-02-20 04:00:00,33.18
2023-02-20 04:00:00,2023-02-20 05:00:00,32.24
2023-02-20 05:00:00,2023-02-20 06:00:00,83.36
2023-02-20 06:00:00,2023-02-20 07:00:00,107.13
2023-02-20 00:00:00,2023-02-20 01:00:00,62.31
2023-02-20 01:00:00,2023-02-20 02:00:00,45.04
2023-02-19 23:00:00,2023-02-20 00:00:00,85.17
2023-02-19 13:00:00,2023-02-19 14:00:00,90.45
2023-02-19 14:00:00,2023-02-19 15:00:00,87.66
2023-02-19 15:00:00,2023-02-19 16:00:00,103
2023-02-19 16:00:00,2023-02-19 17:00:00,107.21
2023-02-19 17:00:00,2023-02-19 18:00:00,115.52
2023-02-19 18:00:00,2023-02-19 19:00:00,113.79
2023-02-19 19:00:00,2023-02-19 20:00:00,103.31
2023-02-19 20:00:00,2023-02-19 21:00:00,96.38
2023-02-19 21:00:00,2023-02-19 22:00:00,107.24
2023-02-19 22:00:00,2023-02-19 23:00:00,104.72
2023-02-19 02:00:00,2023-02-19 03:00:00,41.9
2023-02-19 03:00:00,2023-02-19 04:00:00,84.42
2023-02-19 04:00:00,2023-02-19 05:00:00,40
2023-02-19 05:00:00,2023-02-19 06:00:00,46.12
2023-02-19 06:00:00,2023-02-19 07:00:00,40
2023-02-19 07:00:00,2023-02-19 08:00:00,45.59
2023-02-19 08:00:00,2023-02-19 09:00:00,107.22
2023-02-19 09:00:00,2023-02-19 10:00:00,88.78
2023-02-19 10:00:00,2023-02-19 11:00:00,73.1
2023-02-19 11:00:00,2023-02-19 12:00:00,81.91
2023-02-19 12:00:00,2023-02-19 13:00:00,90.48
2023-02-19 00:00:00,2023-02-19 01:00:00,40
2023-02-19 01:00:00,2023-02-19 02:00:00,40.01
2023-02-18 23:00:00,2023-02-19 00:00:00,72.06
2023-02-18 14:00:00,2023-02-18 15:00:00,86.37
2023-02-18 15:00:00,2023-02-18 16:00:00,91.86
2023-02-18 16:00:00,2023-02-18 17:00:00,109.18
2023-02-18 17:00:00,2023-02-18 18:00:00,109.84
2023-02-18 18:00:00,2023-02-18 19:00:00,108.78
2023-02-18 19:00:00,2023-02-18 20:00:00,90.39
2023-02-18 20:00:00,2023-02-18 21:00:00,71.02
2023-02-18 21:00:00,2023-02-18 22:00:00,106.57
2023-02-18 22:00:00,2023-02-18 23:00:00,107.99
2023-02-18 04:00:00,2023-02-18 05:00:00,61.15
2023-02-18 05:00:00,2023-02-18 06:00:00,77.45
2023-02-18 06:00:00,2023-02-18 07:00:00,26.78
2023-02-18 07:00:00,2023-02-18 08:00:00,28.89
2023-02-18 08:00:00,2023-02-18 09:00:00,93.73
2023-02-18 09:00:00,2023-02-18 10:00:00,100.19
2023-02-18 10:00:00,2023-02-18 11:00:00,99.45
2023-02-18 11:00:00,2023-02-18 12:00:00,100.44
2023-02-18 12:00:00,2023-02-18 13:00:00,91.1
2023-02-18 13:00:00,2023-02-18 14:00:00,82.74
2023-02-18 00:00:00,2023-02-18 01:00:00,27.46
2023-02-18 01:00:00,2023-02-18 02:00:00,24.93
2023-02-18 02:00:00,2023-02-18 03:00:00,22.98
2023-02-18 03:00:00,2023-02-18 04:00:00,36.62
